from_currency_code,from_currency_name,to_currency_code,to_currency_name,exchange_rate,last_refreshed,time_zone
JPY,Japanese Yen,USD,United States Dollar,0.00902535,2018-09-06 17:31:36,UTC
EUR,Euro,USD,United States Dollar,1.1623852,2018-09-06 17:45:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2933265,2018-09-06 17:45:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0341262,2018-09-06 17:46:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.0090234,2018-09-06 17:46:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.034062,2018-09-06 18:00:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2932762,2018-09-06 18:00:32,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00902511,2018-09-06 18:01:02,UTC
EUR,Euro,USD,United States Dollar,1.1623852,2018-09-06 18:01:33,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00902413,2018-09-06 18:15:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0346076,2018-09-06 18:15:32,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 18:16:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2936946,2018-09-06 18:16:32,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 18:30:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00902486,2018-09-06 18:30:33,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0355183,2018-09-06 18:31:03,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2942303,2018-09-06 18:31:33,UTC
EUR,Euro,USD,United States Dollar,1.1630613,2018-09-06 18:45:16,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0353253,2018-09-06 18:45:46,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.293661,2018-09-06 18:46:16,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00902128,2018-09-06 18:46:46,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00902177,2018-09-06 19:00:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0352288,2018-09-06 19:00:32,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 19:01:03,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2935439,2018-09-06 19:01:33,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 19:15:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0347897,2018-09-06 19:15:32,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00901567,2018-09-06 19:16:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2936275,2018-09-06 19:16:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2926911,2018-09-06 19:30:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.034736,2018-09-06 19:30:32,UTC
EUR,Euro,USD,United States Dollar,1.1626556,2018-09-06 19:31:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00901469,2018-09-06 19:31:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0350145,2018-09-06 19:45:01,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 19:45:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2928582,2018-09-06 19:46:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00901567,2018-09-06 19:46:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.035111,2018-09-06 20:00:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2929251,2018-09-06 20:00:32,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 20:01:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00901746,2018-09-06 20:01:33,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903236,2018-09-06 20:15:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.293293,2018-09-06 20:15:32,UTC
EUR,Euro,USD,United States Dollar,1.162926,2018-09-06 20:16:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.03584,2018-09-06 20:16:37,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 20:30:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903228,2018-09-06 20:30:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0357757,2018-09-06 20:31:03,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2928082,2018-09-06 20:31:33,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0360547,2018-09-06 20:45:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2928247,2018-09-06 20:45:32,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 20:46:14,UTC
JPY,Japanese Yen,USD,United States Dollar,0.0090344,2018-09-06 20:46:44,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 21:00:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0363338,2018-09-06 21:00:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2927246,2018-09-06 21:01:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903049,2018-09-06 21:01:33,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-06 21:15:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903383,2018-09-06 21:15:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.292641,2018-09-06 21:16:03,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0360225,2018-09-06 21:16:34,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903351,2018-09-06 21:30:02,UTC
EUR,Euro,USD,United States Dollar,1.1626556,2018-09-06 21:30:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2928082,2018-09-06 21:31:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0359473,2018-09-06 21:31:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.292875,2018-09-06 21:45:02,UTC
EUR,Euro,USD,United States Dollar,1.1626556,2018-09-06 21:45:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0357327,2018-09-06 21:46:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903424,2018-09-06 21:46:32,UTC
EUR,Euro,USD,United States Dollar,1.1626556,2018-09-06 22:00:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903595,2018-09-06 22:00:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0360118,2018-09-06 22:01:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2926911,2018-09-06 22:01:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2928416,2018-09-06 22:15:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903644,2018-09-06 22:15:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0360225,2018-09-06 22:16:02,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 22:16:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2927078,2018-09-06 22:30:02,UTC
EUR,Euro,USD,United States Dollar,1.1626556,2018-09-06 22:30:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0360869,2018-09-06 22:31:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903759,2018-09-06 22:31:32,UTC
EUR,Euro,USD,United States Dollar,1.1630613,2018-09-06 22:45:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903465,2018-09-06 22:45:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0361835,2018-09-06 22:46:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2927914,2018-09-06 22:46:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0362694,2018-09-06 23:00:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903457,2018-09-06 23:00:32,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-06 23:01:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.292875,2018-09-06 23:01:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0360547,2018-09-06 23:15:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00903767,2018-09-06 23:15:33,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-06 23:16:03,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2926744,2018-09-06 23:16:33,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904347,2018-09-06 23:30:02,UTC
EUR,Euro,USD,United States Dollar,1.1623852,2018-09-06 23:30:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0359689,2018-09-06 23:31:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.292641,2018-09-06 23:31:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2927747,2018-09-06 23:45:02,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-06 23:45:32,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00905027,2018-09-06 23:46:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0360655,2018-09-06 23:46:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0359259,2018-09-07 00:00:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00905084,2018-09-07 00:00:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2926075,2018-09-07 00:01:03,UTC
EUR,Euro,USD,United States Dollar,1.1623852,2018-09-07 00:01:33,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00905485,2018-09-07 00:15:02,UTC
EUR,Euro,USD,United States Dollar,1.16225,2018-09-07 00:15:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2924405,2018-09-07 00:16:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0358508,2018-09-07 00:16:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0357757,2018-09-07 00:30:02,UTC
EUR,Euro,USD,United States Dollar,1.1621151,2018-09-07 00:30:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2923236,2018-09-07 00:31:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.009056,2018-09-07 00:31:33,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00905108,2018-09-07 00:45:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2925407,2018-09-07 00:45:32,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-07 00:46:03,UTC
CHF,Swiss Franc,USD,United States Dollar,1.036248,2018-09-07 00:46:33,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904912,2018-09-07 01:00:02,UTC
EUR,Euro,USD,United States Dollar,1.16225,2018-09-07 01:00:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2922735,2018-09-07 01:01:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.036001,2018-09-07 01:01:32,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904969,2018-09-07 01:15:01,UTC
